Particle_ID,x,y,z,vx,vy,vz,charge_q1,mass_m1
0,-500.0,-12.545988115263754,-10.636447972255795,9.851213829650938,0.0,0.0,2.0,4.0
1,-500.0,45.07143064099162,-2.6564340624978584,9.887481389826883,0.0,0.0,2.0,4.0
2,-500.0,23.199394181140505,35.45473932021804,10.03888189102637,0.0,0.0,2.0,4.0
3,-500.0,9.86584841970366,-15.999561394010783,9.882612667369397,0.0,0.0,2.0,4.0
4,-500.0,-34.398135955756345,36.96496848121713,10.11126343052033,0.0,0.0,2.0,4.0
5,-500.0,-34.40054796637973,-41.18655690233085,9.992887970916966,0.0,0.0,2.0,4.0
6,-500.0,-44.19163878318005,27.679843720863076,10.008559470394452,0.0,0.0,2.0,4.0
7,-500.0,36.61761457749351,34.75476330547363,9.97216270323921,0.0,0.0,2.0,4.0
8,-500.0,10.111501174320878,-31.818234716266126,10.077284783854372,0.0,0.0,2.0,4.0
9,-500.0,20.807257779604555,-6.965346762779959,10.078315988777701,0.0,0.0,2.0,4.0
10,-500.0,-47.94155057041976,-33.45002253363444,10.033505435191216,0.0,0.0,2.0,4.0
11,-500.0,46.990985216199434,20.66041289942177,10.056478910590764,0.0,0.0,2.0,4.0
12,-500.0,33.24426408004217,3.5347768061656737,9.978791033007957,0.0,0.0,2.0,4.0
13,-500.0,-28.766088932172384,13.5323346708321,10.054220300690904,0.0,0.0,2.0,4.0
14,-500.0,-31.817503279289937,-30.351303304378884,9.966212222452619,0.0,0.0,2.0,4.0
15,-500.0,-31.65954901465662,-28.82541379475805,10.00022316221624,0.0,0.0,2.0,4.0
16,-500.0,-19.57577570404623,-45.850267449009365,9.97253562506337,0.0,0.0,2.0,4.0
17,-500.0,2.4756431632237863,-17.79324648042703,9.95427814606808,0.0,0.0,2.0,4.0
18,-500.0,-6.805498135788426,5.974466133367493,9.93108882022782,0.0,0.0,2.0,4.0
19,-500.0,-20.877085980195808,35.793491399732886,10.046769010385889,0.0,0.0,2.0,4.0
20,-500.0,11.185289472237947,16.69274474586807,10.131060591281347,0.0,0.0,2.0,4.0
21,-500.0,-36.05061393479582,-6.460367660024858,10.117110197166957,0.0,0.0,2.0,4.0
22,-500.0,-20.785535146478185,45.31201143941378,9.874343466405456,0.0,0.0,2.0,4.0
23,-500.0,-13.363815670630828,21.92452005758318,10.128920305140687,0.0,0.0,2.0,4.0
24,-500.0,-4.393001578296406,43.016520286255,9.968184149838207,0.0,0.0,2.0,4.0
25,-500.0,28.51759613930136,2.75879732721657,10.06007330151456,0.0,0.0,2.0,4.0
26,-500.0,-30.032621784164025,-24.10957252068604,9.909378466795278,0.0,0.0,2.0,4.0
27,-500.0,1.4234438413611628,-44.717331363527805,10.0141979913874,0.0,0.0,2.0,4.0
28,-500.0,9.241456886204247,22.608485148385043,10.03137231828969,0.0,0.0,2.0,4.0
29,-500.0,-45.35495872800023,-37.869700199446584,9.851539520808034,0.0,0.0,2.0,4.0
30,-500.0,10.75448519014384,-19.722487172803284,10.060826716634418,0.0,0.0,2.0,4.0
31,-500.0,-32.94758763127085,3.247090788389741,10.134593500783831,0.0,0.0,2.0,4.0
32,-500.0,-43.49484070147205,6.441658777974766,9.982535205431837,0.0,0.0,2.0,4.0
33,-500.0,44.888553725333324,10.058319698713603,10.1360168130828,0.0,0.0,2.0,4.0
34,-500.0,46.563203307455936,-33.37446696502994,9.981030650654759,0.0,0.0,2.0,4.0
35,-500.0,30.83973481164611,-12.026259517835122,10.084958453104662,0.0,0.0,2.0,4.0
36,-500.0,-19.53862308266293,11.719422711696673,9.77814300340489,0.0,0.0,2.0,4.0
37,-500.0,-40.23278859936161,46.98188646337847,10.241877777931347,0.0,0.0,2.0,4.0
38,-500.0,18.423302651215693,22.763113769968868,10.149545824524296,0.0,0.0,2.0,4.0
39,-500.0,-5.984750626039869,42.26037570939579,9.971537449574631,0.0,0.0,2.0,4.0
40,-500.0,-37.79617651552212,26.221205831417706,9.802791097335618,0.0,0.0,2.0,4.0
41,-500.0,-0.4823089888729797,9.171696889240046,10.028802836830549,0.0,0.0,2.0,4.0
42,-500.0,-46.56114788847816,-30.797663086365546,9.855607445292625,0.0,0.0,2.0,4.0
43,-500.0,40.9320402078782,16.66856518925131,10.044485353755748,0.0,0.0,2.0,4.0
44,-500.0,-24.12200183999831,12.337956595990704,10.041156571916428,0.0,0.0,2.0,4.0
45,-500.0,16.252228435398195,10.246917045726647,9.905859683099797,0.0,0.0,2.0,4.0
