UserID,LogDate,AppOpens,MinutesActive
10000,2023-03-02,4,39.8
10000,2023-03-08,6,39.3
10000,2023-03-11,3,41.5
10000,2023-03-31,7,32.6
10000,2023-03-18,4,15.4
10000,2023-03-12,7,5.0
10000,2023-03-16,5,24.3
10000,2023-03-20,5,43.4
10000,2023-03-23,2,17.8
10000,2023-03-10,2,39.4
10000,2023-03-03,9,18.9
10000,2023-03-05,2,33.3
10000,2023-03-22,6,37.8
10000,2023-03-25,4,3.4
10000,2023-03-15,3,29.3
10000,2023-03-07,9,34.1
10000,2023-03-13,7,14.7
10000,2023-03-19,5,34.9
10001,2023-03-16,1,40.5
10001,2023-03-17,5,38.4
10001,2023-03-15,5,26.6
10001,2023-03-07,2,35.5
10002,2023-03-18,7,7.3
10002,2023-03-14,5,6.3
10004,2023-03-09,3,16.4
10004,2023-03-30,8,25.4
10004,2023-03-31,9,13.4
10004,2023-03-13,9,17.3
10004,2023-03-29,5,35.1
10004,2023-03-21,2,14.1
10004,2023-03-04,4,40.7
10004,2023-03-28,1,34.2
10004,2023-03-14,4,42.7
10004,2023-03-25,8,8.0
10004,2023-03-03,9,28.1
10004,2023-03-07,7,28.8
10004,2023-03-23,5,39.1
10004,2023-03-02,2,2.8
10004,2023-03-01,2,4.3
10004,2023-03-27,3,19.1
10004,2023-03-20,5,22.2
10004,2023-03-12,8,5.9
10004,2023-03-16,1,5.1
10004,2023-03-05,9,42.9
10004,2023-03-26,8,7.7
10004,2023-03-17,6,39.4
10004,2023-03-19,2,29.9
10004,2023-03-06,8,10.0
10006,2023-03-17,3,17.3
10006,2023-03-31,2,2.7
10006,2023-03-18,3,24.4
10006,2023-03-08,9,34.6
10006,2023-03-13,9,26.6
10006,2023-03-29,5,7.0
10006,2023-03-01,9,37.6
10006,2023-03-22,3,2.3
10006,2023-03-19,8,33.4
10006,2023-03-21,6,27.1
10006,2023-03-20,3,13.6
10006,2023-03-27,9,2.4
10006,2023-03-30,3,28.8
10006,2023-03-15,8,43.7
10006,2023-03-28,1,23.4
10006,2023-03-12,5,15.7
10006,2023-03-26,5,38.4
10006,2023-03-25,3,28.5
10006,2023-03-05,5,33.0
10006,2023-03-07,2,22.5
10006,2023-03-11,4,29.8
10006,2023-03-10,1,18.1
10006,2023-03-23,7,5.7
10006,2023-03-02,8,2.4
10006,2023-03-04,1,35.9
10006,2023-03-06,7,8.8
10006,2023-03-09,8,8.9
10006,2023-03-24,6,14.1
10006,2023-03-14,2,38.1
10008,2023-03-12,9,9.6
10008,2023-03-05,9,33.8
10008,2023-03-27,5,10.6
10008,2023-03-06,4,18.4
10008,2023-03-28,2,16.9
10008,2023-03-23,6,4.3
10008,2023-03-10,4,35.3
10008,2023-03-02,4,34.7
10008,2023-03-11,8,22.8
10008,2023-03-22,8,39.2
10008,2023-03-29,2,18.9
10008,2023-03-14,9,4.0
10009,2023-03-10,4,32.9
10009,2023-03-19,7,30.3
10009,2023-03-15,8,31.7
10009,2023-03-02,8,3.1
10010,2023-03-10,7,43.1
10010,2023-03-14,1,24.6
10010,2023-03-24,5,31.8
10010,2023-03-19,8,22.4
10010,2023-03-13,1,35.3
10010,2023-03-11,4,23.3
10010,2023-03-08,6,17.7
10010,2023-03-12,1,32.4
10010,2023-03-27,6,2.5
10010,2023-03-21,5,34.1
10010,2023-03-16,1,3.0
10010,2023-03-29,7,24.7
10010,2023-03-30,4,11.8
10010,2023-03-26,1,33.4
10010,2023-03-18,9,41.2
10011,2023-03-08,1,11.5
10011,2023-03-10,4,18.0
10011,2023-03-24,5,28.1
10011,2023-03-28,2,27.6
10011,2023-03-22,4,2.6
10011,2023-03-15,7,22.3
10012,2023-03-25,8,35.6
10012,2023-03-11,4,30.7
10012,2023-03-30,5,24.8
10012,2023-03-14,5,3.3
10012,2023-03-10,4,39.5
10012,2023-03-15,8,33.9
10012,2023-03-08,3,29.6
10012,2023-03-05,2,9.8
10012,2023-03-31,5,30.0
10012,2023-03-24,2,24.2
10012,2023-03-29,7,24.4
10014,2023-03-02,5,42.9
10014,2023-03-28,7,27.6
10014,2023-03-09,8,30.4
10014,2023-03-16,5,7.8
10014,2023-03-22,2,43.1
10014,2023-03-29,7,5.8
10014,2023-03-27,9,23.8
10014,2023-03-18,7,39.0
10014,2023-03-08,7,21.2
10014,2023-03-13,8,11.1
10014,2023-03-11,9,12.4
10014,2023-03-25,4,36.3
10014,2023-03-01,5,26.7
10014,2023-03-26,3,4.4
10014,2023-03-07,1,20.9
10014,2023-03-15,2,41.9
10014,2023-03-23,4,25.6
10014,2023-03-30,7,36.7
10014,2023-03-17,7,42.6
10015,2023-03-28,4,5.4
10015,2023-03-20,2,18.0
