Date,Government_Spending,Tax_Revenue,Sovereign_Debt_Outstanding,Sovereign_Yield_10Y,Output_Growth_Pct,Private_Capital_Formation
2000-03-31,1010.9500622738683,844.6817962077045,166.26826606616385,0.025619535919221566,0.0,2414.776133473803
2000-06-30,1012.1684207562845,852.2430658777322,326.19362094471614,0.033535814754386564,1.4974845725966286,2446.5033846308434
2000-09-30,1030.295002330777,865.4203418860156,491.0682813894774,0.016873863816346965,-2.661313450111684,2413.4624980022995
2000-12-31,1025.5681931715546,883.5442426490226,633.0922319120094,0.029027208356803866,3.301084159013601,2511.9194759691
2001-03-31,1022.9910144916494,861.8229347509987,794.2603116526601,0.03701513250875898,3.2821122729377574,2501.0465032367465
2001-06-30,1055.7069880633608,888.8320099934556,961.1352897225653,0.012949682658945482,-5.524368930913175,2285.127055866576
2001-09-30,1067.8200371906196,884.1326259844672,1144.8227009287177,0.001,-2.73473622797871,2453.8016130468905
2001-12-31,1072.29584393693,894.0245280487889,1323.0940168168588,0.009631758591599232,2.2319641536467976,2596.236364381922
2002-03-31,1081.3728682825117,917.60430422953,1486.8625808698405,0.003326479268970872,0.5508922921758794,2545.2683192299783
2002-06-30,1084.105241299059,916.6639343625195,1654.3038878063799,0.01299876407996212,1.4569315098049394,2529.701844911804
2002-09-30,1092.3127953104522,928.438318974312,1818.17836414252,0.0032992853756729354,-1.2019554480260863,2514.6465576788046
2002-12-31,1088.1901583686802,916.9601561115959,1989.4083663996043,0.022476638155713484,4.31510688538617,2632.154964925847
2003-03-31,1084.911100849209,915.0045833775686,2159.314883871245,0.03242882692773618,3.2000911803945145,2545.014389348569
2003-06-30,1093.4473269930684,928.240964098579,2324.5212467657343,0.036422423713331,0.6530687304458099,2304.5782183296533
2003-09-30,1090.599157945815,940.1647498097119,2474.9556549018375,0.046409350104019066,3.5729959602426815,2408.5986740186613
2003-12-31,1102.6364185021941,951.5012240959477,2626.090849308084,0.042585366658252057,1.1555258487789373,2290.411746143753
2004-03-31,1121.0037329363531,942.9221146414972,2804.1724676029403,0.034000912634130034,-2.4836829034509202,2262.2602372022
2004-06-30,1121.91559479033,960.191050004141,2965.8970123891295,0.0345253793894831,1.3409286783542504,2390.108768938976
2004-09-30,1141.453829675331,969.7945063623835,3137.556335702077,0.02399421236574762,-2.378310464840928,2260.8292847585917
2004-12-31,1140.8338159128996,1004.3384435517117,3274.051708063265,0.04155762556026476,3.1409860724855014,2446.4476459023313
2005-03-31,1155.7643279281754,1008.1468162782179,3421.6692197132224,0.03742727363748925,0.11992532770598843,2302.9174358787645
2005-06-30,1169.6790220431615,985.1538514288081,3606.194390327576,0.030704439590718377,-0.16738840403307853,2344.334658565215
2005-09-30,1186.1780623760349,1000.3111107028459,3792.061342000765,0.021744825119573992,-1.364959681020604,2344.8740899672316
2005-12-31,1186.7952411090791,997.3118352079467,3981.544747901897,0.04083315820393541,4.097332869182065,2434.7447135537027
2006-03-31,1192.9573501771124,1010.6887187419975,4163.8133793370125,0.03395529580206015,-0.25221020447154174,2350.223038730009
2006-06-30,1203.5283997010224,1026.4458105240396,4340.895968513995,0.02984676694796804,-0.8280674410244644,2336.402998316487
2006-09-30,1211.266798855677,1040.9506708768492,4511.212096492824,0.02902829112838338,-0.3932332661311823,2378.061655971764
2006-12-31,1211.6877886772654,1022.9050794942486,4699.99480567584,0.03896207382069535,2.0957444100596616,2404.281487634681
2007-03-31,1210.913483106986,1025.760217315664,4885.1480714671625,0.04147365086540327,1.343360386272967,2388.90519190388
2007-06-30,1218.30180141828,1016.6444051849844,5086.805467700458,0.03681383914895685,1.2962357596372522,2363.7481214880604
2007-09-30,1222.647152625476,1046.3660374249532,5263.086582900982,0.048133430664038336,1.1826020966475594,2234.6133302960143
2007-12-31,1205.3877399052242,1036.3995047507563,5432.074818055449,0.07049654213541492,5.290458362841571,2320.2470530780706
2008-03-31,1218.9175759683071,1046.6218433079682,5604.370550715788,0.060492482489856614,-1.8023349521317729,2062.6108972174006
2008-06-30,1237.0954734430657,1050.7649262839284,5790.701097874926,0.053898089075034385,-1.6750238362021614,2167.774114049364
2008-09-30,1258.780830216072,1070.322377826821,5979.159550264177,0.03102774765363364,-2.04747517442509,2298.811084582131
2008-12-31,1268.943169685777,1063.658443608471,6184.444276341483,0.04259597985614668,1.9359328158383697,2353.377650155318
