Date,Government_Spending,Tax_Revenue,Sovereign_Debt_Outstanding,Sovereign_Yield_10Y,Private_Capital_Formation
2000-03-31,1012.4835707650561,947.4086455171315,65.07492524792463,0.014763911143046485,2318.933259761563
2000-06-30,1021.7922492592003,797.8161372006041,289.0510373065208,0.022938156326148495,2227.638367037634
2000-09-30,1035.0306919497036,858.7625384148058,465.3191908414186,0.019729118444648638,2275.5612592337325
2000-12-31,1052.6458412317438,921.8595847092404,596.105447363922,0.02465433975393147,2212.7689976694905
2001-03-31,1061.4750743581271,839.5284918567833,818.0520298652659,0.023854254235540752,2225.6888441458022
2001-06-30,1070.3043895733813,1009.2387299126186,879.1176895260286,0.021235002184203752,2258.499485440926
2001-09-30,1088.2004536509182,1023.5742132984188,943.743929878528,0.017482735616509475,2304.5091699676627
2001-12-31,1102.0376272966828,840.7947300793519,1204.9868270958589,0.01461767832474345,2353.818407084948
2002-03-31,1109.690255367008,914.7311341280516,1399.945948334815,0.020313977352779327,2291.1848240941504
2002-06-30,1122.4030555849379,870.1088224838498,1652.2401814359032,0.02728747838364974,2202.086965255664
2002-09-30,1130.0859671208755,871.53373837555,1910.7924101812287,0.024546268951122687,2250.3480819165843
2002-12-31,1137.7573183530242,806.9222214231974,2241.6275071110554,0.01784890729657105,2342.1380978072457
2003-03-31,1148.9671297108544,979.3693365943457,2411.225300227564,0.025252010314831243,2262.727931267383
2003-06-30,1149.4007284875654,949.0254188149636,2611.6006099001656,0.026677182491040324,2256.2095674840057
2003-09-30,1150.7761393250003,820.3534271826838,2942.023322042482,0.02093235922826514,2324.7299081594747
2003-12-31,1157.9647016787953,891.2409836335564,3208.747040087721,0.026605451990852416,2253.214438225164
2004-03-31,1162.9005460771232,1078.086105947447,3293.561480217397,0.02628215057539332,2269.728641969635
2004-06-30,1174.4717827400996,892.4699181201266,3575.5633448373696,0.020789227044879295,2349.4938887553953
2004-09-30,1179.9316623624936,868.6936754773449,3886.8013317225186,0.02885916844627542,2253.410605298302
2004-12-31,1182.870143855817,972.7488649391089,4096.922610639227,0.030256372452349835,2242.11882905546
2005-03-31,1200.198387700425,1135.8828928552311,4161.238105484421,0.03298469823847602,2225.7914056867667
2005-06-30,1209.0695061979923,919.5140662383523,4450.793545444061,0.03336516405930386,2220.1198690380606
2005-09-30,1219.4071472214318,1058.4867256570817,4611.713967008412,0.0215005270033323,2378.8988060494057
2005-12-31,1222.2834062903646,1088.3271388336407,4745.670234465136,0.023943419919824342,2351.340718068916
2006-03-31,1229.5614926677385,933.7405381937145,5041.49118893916,0.03174583042858997,2256.6337746770732
2006-06-30,1240.116105616288,1093.8494795030647,5187.757815052383,0.03200564810926712,2269.3738221884805
2006-09-30,1244.3611377291763,985.466555777456,5446.6523970041035,0.032482895357491326,2276.6623950755584
2006-12-31,1256.2396278209048,1077.9496497981,5624.942375026909,0.04949563027215981,2077.1383050022087
