Company_ID,Sector,ROIC_Avg,Interest_Coverage_Ratio,State_Subsidies_Millions,Debt_to_Equity,Is_Zombie
Corp_0,Tech,0.046505296115611085,4.947665264617033,0.0,3.2343803620219056,0
Corp_1,State_Subsidized,0.011061543001697437,0.3565913069217449,216.38875392651627,3.566649947209827,1
Corp_2,Tech,0.12787360242892587,1.3535229291077941,0.0,2.9078260383328596,0
Corp_3,Manufacturing,0.019359741313358873,3.5273938550042567,0.0,2.9062688352931447,0
Corp_4,Manufacturing,0.10590641594893041,4.800974328812837,0.0,0.17123898451350322,0
Corp_5,Services,0.1359853258980105,3.029944197712535,0.0,2.1705658141098887,0
Corp_6,State_Subsidized,-0.011916801939046028,0.42912928087113666,133.94391974770326,0.21326067369706508,0
Corp_7,State_Subsidized,-0.006576321798738094,0.5717749945515017,140.51363258763857,3.9907505058718775,1
Corp_8,Tech,0.17396581167889685,2.823250035250711,0.0,4.5336603447302775,0
Corp_9,Services,0.10499199789391879,2.155083107055064,0.0,0.4104481647804248,0
Corp_10,Manufacturing,0.13707940351620507,3.48631015020105,0.0,1.97235540846569,0
Corp_11,Services,0.04948031143648025,4.315516896223044,0.0,3.484124084100028,0
Corp_12,Manufacturing,0.0988295207237245,0.50268839616915,15.794418459792936,0.5903297914393317,0
Corp_13,Tech,0.08491560612034502,4.680359709445467,0.0,4.333213542967493,0
Corp_14,Services,0.06597785459854116,3.102393471701771,0.0,2.1316254554433955,0
Corp_15,Manufacturing,0.024030081544757213,2.939671205851224,0.0,1.4281084100601333,0
Corp_16,Manufacturing,0.057937265088628356,5.701452948235758,0.0,2.408059106316366,0
Corp_17,Manufacturing,0.09506794327848929,6.416173882559889,0.0,2.55175718109163,0
Corp_18,Tech,0.11855985826076446,4.219123474652041,0.0,1.4444742082388413,0
Corp_19,Services,0.09224961328807563,2.764892760894186,0.0,4.04610455835185,0
Corp_20,Services,0.047851707653619284,0.4713174629328867,5.250726809383672,3.2705469743001685,1
Corp_21,Services,0.1184252257201509,0.2840324832834189,4.4934363936385235,0.6110060101201215,0
Corp_22,Manufacturing,0.06339348077519302,3.054146766610078,0.0,2.885076141702502,0
Corp_23,Services,0.13856166190220046,2.60355710426044,0.0,3.416912753176442,0
